MAL_ID,eng_version,Score,Genres,Episodes,Type,Studios,Completed,Rating,Producers,Duration,Members
5114,Fullmetal Alchemist:Brotherhood,9.19,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",64,TV,Bones,1644938,R - 17+ (violence & profanity),"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken",24 min. per ep.,2248456
40028,Attack on Titan Final Season,9.17,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",16,TV,MAPPA,553,R - 17+ (violence & profanity),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",23 min. per ep.,733260
9253,Steins;Gate,9.11,"Thriller, Sci-Fi",24,TV,White Fox,1134756,PG-13 - Teens 13 or older,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",24 min. per ep.,1771162
38524,Attack on Titan Season 3 Part 2,9.1,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",10,TV,Wit Studio,906824,R - 17+ (violence & profanity),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",23 min. per ep.,1073626
28977,Gintama Season 4,9.1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",51,TV,Bandai Namco Pictures,167130,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Dentsu",24 min. per ep.,404121
11061,Hunter x Hunter,9.1,"Action, Adventure, Fantasy, Shounen, Super Power",148,TV,Madhouse,1094486,PG-13 - Teens 13 or older,"VAP, Nippon Television Network, Shueisha",23 min. per ep.,1673924
9969,Gintama Season 2,9.08,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",51,TV,Sunrise,190008,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",24 min. per ep.,365579
820,Legend of the Galactic Heroes,9.07,"Military, Sci-Fi, Space, Drama",110,OVA,"Artland, Magic Bus",52583,R - 17+ (violence & profanity),"Kitty Films, K-Factory",26 min. per ep.,230168
15417,Gintama:Enchousen,9.04,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",13,TV,Sunrise,143353,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",24 min. per ep.,222819
28851,A Silent Voice,9.0,"Drama, School, Shounen",1,Movie,Kyoto Animation,1151644,PG-13 - Teens 13 or older,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras",2 hr. 10 min.,1387607
35180,March Comes In Like A Lion 2nd Season,9.0,"Drama, Game, Seinen, Slice of Life",22,TV,Shaft,148885,PG-13 - Teens 13 or older,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",25 min. per ep.,266243
34096,Gintama Season 5,8.99,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",12,TV,Bandai Namco Pictures,115105,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Dentsu, Shueisha",24 min. per ep.,201735
32281,Your Name.,8.96,"Romance, Supernatural, School, Drama",1,Movie,CoMix Wave Films,1462143,PG-13 - Teens 13 or older,"Toho, Sound Team Don Juan, Amuse, JR East Marketing & Communications, Kadokawa, voque ting",1 hr. 46 min.,1726660
4181,Clannad ~After Story~,8.96,"Slice of Life, Comedy, Supernatural, Drama, Romance",24,TV,Kyoto Animation,641323,PG-13 - Teens 13 or older,"Pony Canyon, TBS, Rakuonsha, Animation Do",24 min. per ep.,915885
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.96,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",1,Movie,Sunrise,122632,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",1 hr. 50 min.,171119
918,Gintama,8.96,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",201,TV,Sunrise,230260,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha",24 min. per ep.,754607
35247,Owarimonogatari Second Season,8.93,"Mystery, Comedy, Supernatural, Vampire",7,TV,Shaft,159101,R - 17+ (violence & profanity),"Aniplex, Kodansha",22 min. per ep.,270878
2904,Code Geass:Lelouch of the Rebellion R2,8.91,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",25,TV,Sunrise,1060730,R - 17+ (violence & profanity),"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",24 min. per ep.,1268320
39486,Gintama: The Final,8.88,"Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen",1,Movie,Bandai Namco Pictures,2640,PG-13 - Teens 13 or older,,1 hr. 44 min.,29811
